Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,hour,date,day_of_week,duration_min,time_slot
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,2016-07-13,Wednesday,34.1,Evening (17-20)
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,2016-07-14,Thursday,64.0,Late Night (0-4)
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,2016-07-14,Thursday,44.3,Afternoon (10-16)
5771,Airport,4,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,2016-07-15,Friday,67.2,Morning (5-9)
6106,Airport,4,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,2016-07-15,Friday,46.2,Afternoon (10-16)
312,City,5,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7,2016-07-11,Monday,64.0,Morning (5-9)
577,Airport,5,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11,2016-07-11,Monday,58.0,Afternoon (10-16)
1179,City,5,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20,2016-07-11,Monday,47.0,Evening (17-20)
1756,Airport,5,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8,2016-07-12,Tuesday,43.0,Morning (5-9)
2052,City,5,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14,2016-07-12,Tuesday,62.0,Afternoon (10-16)
2559,City,5,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21,2016-07-12,Tuesday,57.0,Night (21-23)
3014,City,5,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,2016-07-13,Wednesday,61.6,Morning (5-9)
3317,City,5,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,2016-07-13,Wednesday,32.2,Afternoon (10-16)
4297,City,5,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,2016-07-14,Thursday,66.6,Morning (5-9)
5857,Airport,5,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,2016-07-15,Friday,58.3,Morning (5-9)
6690,Airport,5,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,2016-07-15,Friday,69.3,Night (21-23)
1517,Airport,6,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5,2016-07-12,Tuesday,43.0,Morning (5-9)
1999,Airport,6,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13,2016-07-12,Tuesday,49.0,Afternoon (10-16)
2960,Airport,6,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,2016-07-13,Wednesday,50.0,Morning (5-9)
3882,City,6,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,2016-07-13,Wednesday,52.4,Night (21-23)
4081,Airport,6,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,2016-07-14,Thursday,53.2,Late Night (0-4)
4740,City,6,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,2016-07-14,Thursday,48.1,Afternoon (10-16)
5270,City,6,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,2016-07-14,Thursday,51.8,Night (21-23)
6758,Airport,6,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,2016-07-15,Friday,64.0,Late Night (0-4)
5741,City,6,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,2016-07-15,Friday,46.1,Morning (5-9)
6087,Airport,6,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,2016-07-15,Friday,65.0,Afternoon (10-16)
1039,City,7,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19,2016-07-11,Monday,70.0,Evening (17-20)
1273,Airport,7,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22,2016-07-11,Monday,65.0,Night (21-23)
2480,City,7,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20,2016-07-12,Tuesday,49.0,Evening (17-20)
4105,City,7,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,2016-07-14,Thursday,59.4,Late Night (0-4)
4509,City,7,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,2016-07-14,Thursday,65.8,Morning (5-9)
4986,Airport,7,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,2016-07-14,Thursday,58.4,Evening (17-20)
5898,City,7,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,2016-07-15,Friday,50.2,Morning (5-9)
6142,Airport,7,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,2016-07-15,Friday,46.7,Afternoon (10-16)
380,Airport,8,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8,2016-07-11,Monday,60.0,Morning (5-9)
1050,Airport,8,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19,2016-07-11,Monday,51.0,Evening (17-20)
1769,City,8,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8,2016-07-12,Tuesday,27.0,Morning (5-9)
2520,City,8,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21,2016-07-12,Tuesday,75.0,Night (21-23)
3265,Airport,8,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,2016-07-13,Wednesday,44.9,Afternoon (10-16)
4648,City,8,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,2016-07-14,Thursday,64.4,Afternoon (10-16)
449,Airport,9,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9,2016-07-11,Monday,44.0,Morning (5-9)
846,Airport,9,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17,2016-07-11,Monday,66.0,Evening (17-20)
1346,Airport,9,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23,2016-07-11,Monday,44.0,Night (21-23)
1474,Airport,9,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5,2016-07-12,Tuesday,43.0,Morning (5-9)
2240,City,9,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18,2016-07-12,Tuesday,34.0,Evening (17-20)
3072,Airport,9,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,2016-07-13,Wednesday,31.7,Morning (5-9)
3459,Airport,9,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,2016-07-13,Wednesday,28.3,Evening (17-20)
3774,Airport,9,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,2016-07-13,Wednesday,46.1,Evening (17-20)
4023,City,9,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,2016-07-13,Wednesday,60.0,Night (21-23)
4117,City,9,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,2016-07-14,Thursday,45.4,Late Night (0-4)
4880,Airport,9,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,2016-07-14,Thursday,63.9,Evening (17-20)
5568,Airport,9,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,2016-07-15,Friday,38.0,Morning (5-9)
5994,Airport,9,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,2016-07-15,Friday,40.9,Afternoon (10-16)
1809,Airport,10,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9,2016-07-12,Tuesday,48.0,Morning (5-9)
2064,Airport,10,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15,2016-07-12,Tuesday,66.0,Afternoon (10-16)
3210,City,10,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,2016-07-13,Wednesday,65.5,Morning (5-9)
4350,City,10,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,2016-07-14,Thursday,57.4,Morning (5-9)
4713,City,10,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,2016-07-14,Thursday,39.5,Afternoon (10-16)
5629,Airport,10,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,2016-07-15,Friday,46.9,Morning (5-9)
6157,Airport,10,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,2016-07-15,Friday,71.9,Afternoon (10-16)
2030,City,11,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14,2016-07-12,Tuesday,51.0,Afternoon (10-16)
3226,City,11,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,2016-07-13,Wednesday,62.6,Afternoon (10-16)
3353,City,11,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,2016-07-13,Wednesday,39.3,Afternoon (10-16)
4293,City,11,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,2016-07-14,Thursday,30.1,Morning (5-9)
4936,City,11,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,2016-07-14,Thursday,52.3,Evening (17-20)
5661,Airport,11,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,2016-07-15,Friday,50.2,Morning (5-9)
5778,City,11,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,2016-07-15,Friday,51.0,Morning (5-9)
6425,Airport,11,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,2016-07-15,Friday,40.2,Evening (17-20)
45,Airport,12,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3,2016-07-11,Monday,52.0,Late Night (0-4)
264,City,12,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6,2016-07-11,Monday,49.0,Morning (5-9)
1183,City,12,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21,2016-07-11,Monday,33.0,Night (21-23)
1536,Airport,12,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5,2016-07-12,Tuesday,60.0,Morning (5-9)
2437,City,12,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20,2016-07-12,Tuesday,68.0,Evening (17-20)
2641,Airport,12,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22,2016-07-12,Tuesday,37.0,Night (21-23)
4077,Airport,12,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,2016-07-14,Thursday,58.9,Late Night (0-4)
4610,City,12,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,2016-07-14,Thursday,63.8,Afternoon (10-16)
5066,Airport,12,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,2016-07-14,Thursday,42.7,Evening (17-20)
5666,Airport,12,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,2016-07-15,Friday,67.7,Morning (5-9)
5923,City,12,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,2016-07-15,Friday,43.0,Afternoon (10-16)
6367,City,12,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,2016-07-15,Friday,41.3,Evening (17-20)
155,City,13,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5,2016-07-11,Monday,56.0,Morning (5-9)
310,Airport,13,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7,2016-07-11,Monday,64.0,Morning (5-9)
607,City,13,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,2016-07-11,Monday,51.0,Afternoon (10-16)
1012,City,13,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19,2016-07-11,Monday,42.0,Evening (17-20)
1696,Airport,13,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8,2016-07-12,Tuesday,41.0,Morning (5-9)
3076,City,13,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,2016-07-13,Wednesday,63.2,Morning (5-9)
4198,Airport,13,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,2016-07-14,Thursday,73.3,Morning (5-9)
4627,City,13,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,2016-07-14,Thursday,46.9,Afternoon (10-16)
5289,City,13,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,2016-07-14,Thursday,40.8,Night (21-23)
5495,Airport,13,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,2016-07-15,Friday,62.2,Morning (5-9)
6656,Airport,13,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,2016-07-15,Friday,32.6,Night (21-23)
139,Airport,14,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5,2016-07-11,Monday,48.0,Morning (5-9)
215,City,14,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6,2016-07-11,Monday,52.0,Morning (5-9)
1816,City,14,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9,2016-07-12,Tuesday,43.0,Morning (5-9)
2505,Airport,14,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21,2016-07-12,Tuesday,71.0,Night (21-23)
3346,City,14,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,2016-07-13,Wednesday,54.3,Afternoon (10-16)
5294,City,14,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,2016-07-14,Thursday,30.8,Night (21-23)
6226,Airport,14,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,2016-07-15,Friday,58.8,Evening (17-20)
6733,Airport,14,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,2016-07-15,Friday,65.0,Night (21-23)
1027,Airport,15,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19,2016-07-11,Monday,66.0,Evening (17-20)
2675,Airport,15,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,23,2016-07-12,Tuesday,52.2,Night (21-23)
3200,City,15,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,2016-07-13,Wednesday,51.2,Morning (5-9)
3865,City,15,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,2016-07-13,Wednesday,29.2,Night (21-23)
4468,City,15,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,2016-07-14,Thursday,39.2,Morning (5-9)
5163,Airport,15,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,2016-07-14,Thursday,30.8,Evening (17-20)
6009,City,15,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,2016-07-15,Friday,62.9,Afternoon (10-16)
6448,Airport,15,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,2016-07-15,Friday,37.8,Evening (17-20)
591,City,16,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,2016-07-11,Monday,66.0,Afternoon (10-16)
709,City,16,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14,2016-07-11,Monday,47.0,Afternoon (10-16)
1167,Airport,16,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20,2016-07-11,Monday,62.0,Evening (17-20)
2661,Airport,16,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,23,2016-07-12,Tuesday,64.4,Night (21-23)
2808,City,16,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,2016-07-13,Wednesday,50.9,Morning (5-9)
3258,Airport,16,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,2016-07-13,Wednesday,32.6,Afternoon (10-16)
3413,Airport,16,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,2016-07-13,Wednesday,73.7,Afternoon (10-16)
3939,Airport,16,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,2016-07-13,Wednesday,29.5,Night (21-23)
4125,City,16,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,2016-07-14,Thursday,69.3,Late Night (0-4)
4457,City,16,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,2016-07-14,Thursday,42.9,Morning (5-9)
4728,City,16,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,2016-07-14,Thursday,62.4,Afternoon (10-16)
5347,Airport,16,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,2016-07-14,Thursday,61.9,Night (21-23)
6147,City,16,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,2016-07-15,Friday,79.1,Afternoon (10-16)
6496,Airport,16,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,2016-07-15,Friday,59.8,Evening (17-20)
634,City,17,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12,2016-07-11,Monday,41.0,Afternoon (10-16)
939,Airport,17,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18,2016-07-11,Monday,61.0,Evening (17-20)
2628,Airport,17,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22,2016-07-12,Tuesday,75.0,Night (21-23)
3021,City,17,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,2016-07-13,Wednesday,52.8,Morning (5-9)
4743,City,17,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,2016-07-14,Thursday,44.8,Afternoon (10-16)
4981,City,17,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,2016-07-14,Thursday,56.0,Evening (17-20)
5367,Airport,17,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,2016-07-14,Thursday,49.9,Night (21-23)
5471,Airport,17,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,2016-07-15,Friday,58.3,Late Night (0-4)
5988,Airport,17,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,2016-07-15,Friday,66.5,Afternoon (10-16)
6477,Airport,17,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,2016-07-15,Friday,39.1,Evening (17-20)
499,City,18,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9,2016-07-11,Monday,37.0,Morning (5-9)
1147,Airport,18,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20,2016-07-11,Monday,36.0,Evening (17-20)
1410,Airport,18,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3,2016-07-12,Tuesday,73.0,Late Night (0-4)
1804,Airport,18,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9,2016-07-12,Tuesday,45.0,Morning (5-9)
1949,Airport,18,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11,2016-07-12,Tuesday,41.0,Afternoon (10-16)
2713,City,18,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,2016-07-13,Wednesday,50.4,Late Night (0-4)
2845,City,18,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,2016-07-13,Wednesday,42.2,Morning (5-9)
3943,Airport,18,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,2016-07-13,Wednesday,57.7,Night (21-23)
4792,City,18,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,2016-07-14,Thursday,47.4,Afternoon (10-16)
5207,Airport,18,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,2016-07-14,Thursday,58.7,Evening (17-20)
5890,City,18,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,2016-07-15,Friday,71.4,Morning (5-9)
494,City,19,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9,2016-07-11,Monday,26.0,Morning (5-9)
1485,City,19,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5,2016-07-12,Tuesday,74.0,Morning (5-9)
2042,City,19,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14,2016-07-12,Tuesday,39.0,Afternoon (10-16)
2561,Airport,19,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21,2016-07-12,Tuesday,75.0,Night (21-23)
3813,Airport,19,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,21,2016-07-13,Wednesday,39.4,Night (21-23)
4260,Airport,19,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,6,2016-07-14,Thursday,47.9,Morning (5-9)
4395,City,19,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,8,2016-07-14,Thursday,54.4,Morning (5-9)
5919,City,19,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,10,2016-07-15,Friday,55.8,Afternoon (10-16)
6002,Airport,19,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,12,2016-07-15,Friday,49.4,Afternoon (10-16)
468,City,20,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9,2016-07-11,Monday,45.0,Morning (5-9)
693,Airport,20,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13,2016-07-11,Monday,70.0,Afternoon (10-16)
1178,City,20,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21,2016-07-11,Monday,61.0,Night (21-23)
2103,City,20,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16,2016-07-12,Tuesday,70.0,Afternoon (10-16)
2292,Airport,20,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18,2016-07-12,Tuesday,37.0,Evening (17-20)
3339,City,20,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,12,2016-07-13,Wednesday,49.5,Afternoon (10-16)
3694,City,20,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,19,2016-07-13,Wednesday,61.8,Evening (17-20)
4469,City,20,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,8,2016-07-14,Thursday,62.9,Morning (5-9)
6432,City,20,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,19,2016-07-15,Friday,39.1,Evening (17-20)
1895,City,21,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10,2016-07-12,Tuesday,32.0,Afternoon (10-16)
1981,Airport,21,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12,2016-07-12,Tuesday,33.0,Afternoon (10-16)
3744,Airport,21,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,20,2016-07-13,Wednesday,54.5,Evening (17-20)
4433,Airport,21,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,8,2016-07-14,Thursday,45.5,Morning (5-9)
6039,Airport,21,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,13,2016-07-15,Friday,27.0,Afternoon (10-16)
6543,City,21,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,20,2016-07-15,Friday,78.3,Evening (17-20)
110,City,22,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5,2016-07-11,Monday,61.0,Morning (5-9)
362,City,22,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8,2016-07-11,Monday,77.0,Morning (5-9)
666,Airport,22,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13,2016-07-11,Monday,43.0,Afternoon (10-16)
926,City,22,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18,2016-07-11,Monday,66.0,Evening (17-20)
